,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3174,KL Nagarkoti,Kings XI Punjab,Sharjah Cricket Stadium,0,0,4.333333333333333,6.0,0,0,8.415384615384616
3175,KL Rahul,Kolkata Knight Riders,Sharjah Cricket Stadium,2,0,43.6,43.7,6,0,26.300000000000004
3176,LH Ferguson,Kings XI Punjab,Sharjah Cricket Stadium,0,0,24.0,24.0,0,0,30.761538461538464
3177,M Prasidh Krishna,Kings XI Punjab,Sharjah Cricket Stadium,0,0,1.0,0.0,0,0,0.1
3178,Mandeep Singh,Kolkata Knight Riders,Sharjah Cricket Stadium,1,0,66.0,29.125,2,0,47.27894736842106
3179,N Pooran,Kolkata Knight Riders,Sharjah Cricket Stadium,0,0,8.8,20.25,1,0,7.766666666666666
3180,N Rana,Kings XI Punjab,Sharjah Cricket Stadium,1,0,21.571428571428573,22.25,2,0,0.1
3181,PJ Cummins,Kings XI Punjab,Sharjah Cricket Stadium,0,0,2.3333333333333335,6.0,0,0,2.45
3182,RA Tripathi,Kings XI Punjab,Sharjah Cricket Stadium,0,0,15.285714285714286,16.833333333333332,1,0,21.2
3183,SP Narine,Kings XI Punjab,Sharjah Cricket Stadium,0,0,11.2,26.833333333333332,1,0,13.4
3184,Shubman Gill,Kings XI Punjab,Sharjah Cricket Stadium,2,0,40.0,41.8,3,0,42.891304347826086
3185,AT Rayudu,Mumbai Indians,Sharjah Cricket Stadium,0,0,24.0,24.142857142857142,2,0,7.866666666666666
3186,DL Chahar,Mumbai Indians,Sharjah Cricket Stadium,0,0,0.0,1.75,0,0,0.5
3187,F du Plessis,Mumbai Indians,Sharjah Cricket Stadium,2,0,40.6,32.9,4,0,2.5285714285714285
3188,Imran Tahir,Mumbai Indians,Sharjah Cricket Stadium,0,0,13.0,6.666666666666667,0,0,19.9
3189,Ishan Kishan,Chennai Super Kings,Sharjah Cricket Stadium,2,0,45.5,23.88888888888889,1,0,53.77837837837838
3190,MS Dhoni,Mumbai Indians,Sharjah Cricket Stadium,0,0,14.6,16.25,0,0,18.18888888888889
3191,N Jagadeesan,Mumbai Indians,Sharjah Cricket Stadium,0,0,0.0,0.0,0,0,0.1
3192,Q de Kock,Chennai Super Kings,Sharjah Cricket Stadium,1,0,39.25,30.4,2,0,37.03243243243244
3193,RA Jadeja,Mumbai Indians,Sharjah Cricket Stadium,0,0,13.666666666666666,13.5,0,0,15.466666666666669
3194,RD Gaikwad,Mumbai Indians,Sharjah Cricket Stadium,0,0,20.75,24.142857142857142,1,0,0.5
3195,SM Curran,Mumbai Indians,Sharjah Cricket Stadium,1,0,23.0,33.25,2,0,38.800000000000004
3196,SN Thakur,Mumbai Indians,Sharjah Cricket Stadium,0,0,11.0,9.285714285714286,0,0,12.0
3197,AB de Villiers,Rajasthan Royals,Dubai International Cricket Stadium,3,0,25.818181818181817,23.857142857142858,2,0,47.006521739130434
